t: 18:48:55; c: noise ; v: 9; m: Opening device, attempt number: ; r: 1
t: 18:50:31; c: error ; v: 1; m: Error when writing to EEPROM: ; r: -7
t: 18:50:32; c: error ; v: 1; m: Error when reading from EEPROM: ; r: -7
t: 18:50:32; c: error ; v: 1; m: Failed to program micro-controller EEPROM, returned value = ; r: -7
t: 18:50:32; c: noise ; v: 9; m: Device closed; r: 0
t: 18:50:32; c: noise ; v: 9; m: Destructor called; r: 0
t: 18:50:32; c: noise ; v: 9; m: Device not opened (no handle).; r: 0
t: 18:51:59; c: error ; v: 1; m: Device not opened; r: 0
t: 18:51:59; c: error ; v: 1; m: Device not opened; r: 0
t: 18:51:59; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:00; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:00; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:00; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:00; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:00; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:00; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:00; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:00; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:01; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:01; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:01; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:02; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:02; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:02; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:02; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:02; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:02; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:02; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:02; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:03; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:03; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:03; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:04; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:04; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:04; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:04; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:04; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:04; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:04; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:04; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:05; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:05; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:05; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:06; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:06; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:06; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:06; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:06; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:06; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:06; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:06; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:07; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:07; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:07; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:08; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:08; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:08; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:08; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:08; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:08; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:08; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:08; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:09; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:09; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:09; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:10; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:10; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:10; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:10; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:10; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:10; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:10; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:10; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:11; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:11; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:11; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:12; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:12; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:12; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:12; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:12; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:12; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:12; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:12; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:14; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:15; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:15; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:15; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:15; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:15; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:15; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:15; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:15; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:15; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:15; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:16; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:17; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:17; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:17; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:17; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:17; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:17; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:17; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:17; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:17; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:17; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:18; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:19; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:19; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:19; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:19; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:19; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:19; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:19; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:19; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:19; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:19; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:20; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:21; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:21; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:21; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:21; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:21; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:21; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:21; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:21; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:21; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:21; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:22; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:23; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:23; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:23; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:23; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:23; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:23; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:23; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:23; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:23; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:23; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:24; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:25; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:25; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:25; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:25; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:25; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:25; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:25; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:25; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:25; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:25; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:26; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:27; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:27; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:27; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:27; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:27; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:27; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:27; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:27; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:27; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:27; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:28; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:29; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:29; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:29; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:29; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:29; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:29; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:29; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:29; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:29; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:29; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:30; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:31; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:31; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:31; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:31; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:31; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:31; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:31; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:31; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:31; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:31; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:32; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:33; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:33; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:33; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:33; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:33; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:33; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:33; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:33; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:33; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:33; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:34; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:35; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:35; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:35; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:35; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:35; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:35; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:35; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:35; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:35; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:35; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:35; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:36; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:36; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:36; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:36; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:36; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:36; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:36; c: error ; v: 1; m: configureFX2: device not opened; r: 1
t: 18:52:36; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:36; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:36; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:37; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:37; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:37; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:37; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:37; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:37; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:37; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:37; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:37; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:37; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:38; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:39; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:39; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:39; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:39; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:39; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:39; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:39; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:39; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:39; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:39; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:40; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:41; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:41; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:41; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:41; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:41; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:41; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:41; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:41; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:41; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:41; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:42; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:43; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:43; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:43; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:43; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:43; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:43; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:43; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:43; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:43; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:43; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:44; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:45; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:45; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:45; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:45; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:45; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:45; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:45; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:45; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:45; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:45; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:46; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:47; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:47; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:47; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:47; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:47; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:47; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:47; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:47; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:47; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:47; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:48; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:49; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:49; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:49; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:49; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:49; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:49; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:49; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:49; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:49; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:49; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:50; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:51; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:51; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:51; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:51; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:51; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:51; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:51; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:51; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:51; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:51; c: error ; v: 1; m: Error while closing device; r: 1
t: 18:52:52; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:53; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:53; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:53; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:53; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:53; c: error ; v: 1; m: Device not opened; r: 0
t: 18:52:53; c: error ; v: 1; m: Cannot open the device after attempt ; r: 5
t: 18:52:53; c: error ; v: 1; m: readEEPROM: Not connected!; r: 1
t: 18:52:53; c: error ; v: 1; m: Failed to get board info rv = ; r: 1
t: 18:52:53; c: error ; v: 1; m: Device not opened when trying to close device; r: 1
t: 18:52:53; c: error ; v: 1; m: Error while closing device; r: 1
